country,Y1961,Y1962,Y1963,Y1964,Y1965,Y1966,Y1967,Y1968,Y1969,Y1970,Y1971,Y1972,Y1973,Y1974,Y1975,Y1976,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021
Afghanistan,2279000,2279000,1947000,2230000,2282000,2033000,2280000,2354000,2454000,2081000,1915000,2450000,2700000,2750000,2850000,2936000,2652000,2813000,2663000,2550000,2470000,2391000,2306000,2194000,2081000,1925000,2300000,1900000,1800000,1650000,1726000,1650000,1940000,2050000,2100000,2300000,2711000,2834000,2499000,1469000,1597000,2686000,3480000,2390000,4266000,3363000,4484000,2623000,5064000,4532000,3388000,5050000,5169235,5370259,4673040,4555110,4280776,3613300,4890000,5185000,3900000
Albania,97800,146407,61763,124208,119728,146084,163261,203184,240177,226582,259431,285000,333000,330000,310000,485000,490000,490000,490530,495900,488700,524000,583000,600000,603000,576000,593000,637000,613000,613000,297340,251862,464498,420000,405342,271150,388391,395067,272000,341100,282200,295300,259900,253400,260000,230900,249500,335000,333100,294900,292800,300000,294000,280000,275000,275000,274877,240294,233218,233430,225170.9
Algeria,685723,1507000,1589664,1162456,1325240,630051,1265506,1533794,1326190,1434548,1317392,1655854,1158077,1091111,1847793,1629687,827123,1083019,1080435,1511426,1218380,977070,789786,886469,1478018,1228800,1174800,614420,1152100,750080,1869400,1836750,1016500,713964,1499920,2982604,661514,2280000,1470000,760361,2039213,1501803,2964852,2730700,2414728,2687930,2318963,1111033,2953117,2605178,2910890,3432231,3299049,2436197,2656731,2440097,2436503,3981219.15,3876876,3106754,2168386
Angola,20000,20000,20000,13000,20000,22000,27000,27000,14145,11965,12782,15070,11527,16985,13000,13000,10000,10000,8000,7000,6000,5000,4000,3000,3000,2400,2400,2400,2400,2500,2560,2800,3000,3000,5000,5235.76,5503.12,6000,4000,4000,4000,4000,3937.08,3941.31,4000,4000,4000,4000,4000,4000,4000,3840.03,3214.34,2885.03,2978.24,2966.67,2915.75,2953.56,2945.33,2938.21,2945.7
Argentina,5725000,5700000,8940000,11260000,6079000,6247000,7320000,5740000,7020000,4920000,5440000,7900000,6560000,5970000,8570000,11582000,5653100,8469400,8317800,7974700,8369600,15097700,13111400,13678600,8742800,8756500,9101200,8596900,10055700,10055700,11036600,9998500,9995900,9736500,11406460,9542315,16106700,15086820,12600600,15478660,16146620,15427820,12399040,14710175,16139170,12721976,14662945,16486532,8508156,9016373,16067929,14683475,8134409,9188339,13930078,11314952,18395106,18518045,19459727,19776942,17644277
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141483,217900,152900,153800,201400,183700,244300,214380,177762,241679,284670,216698,291556,258361,146544,254233,225734,198080,183464,224082,243130,311558,338158,362746,350369,176428,187453,112621,131951.2,97000
Australia,6727192,8352912,8924460,10036954,7067060,12699257,7546691,14804143,10546200,7889918,8606000,6590000,11987000,11357000,11982000,11800000,9370336,18090000,16188000,10856000,16360000,8875571,22016000,18666032,15999000,16119000,12287000,13935000,14214495,15066100,15066100,10557400,14738678,16479000,8961000,16504000,23702000,19224000,21464800,24757000,22108000,24299335,10131924,26131870,21905113,25150343,10821628,13569378,21420177,21834010,27410076,29905009,22855576,25303037,23742560,22274514,31818743.54,20941134,17597560.79,14480217.44,31922554.7
Austria,711673,706206,689528,750534,660712,896906,1045402,1044709,950279,810424,974281,863310,939152,1101762,945188,1233520,1071848,1194808,849921,1200599,1025011,1236355,1417365,1501000,1562776,1414599,1450734,1559993,1362951,1404468,1375253,1325401,1018013,1255122,1301445,1239723,1352281,1341820,1416200,1312962,1508283,1434208.07,1191380,1718825.23,1453072,1396300,1399341,1689688,1523368,1517805,1781837,1275498,1597706.42,1804018.24,1725736.81,1970363.6,1437143,1367060,1596880,1652740,1547600
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,943387,840960,739245,625575,758861,896422,798262,846030,1150281,1493741,1692818,1509557,1573006,1527026,1460303,1305458,1645792,2096203,1272340,1594394,1797028,1841307,1407405,1639830,1799858.5,1769574.1,1991683,2114138.8,1818664.8,1837188.4
Bangladesh,32512,39624,44704,34544,34544,35600,53900,58900,93500,104700,111800,115012,90963,110929,116714,218174,259456,347997,494031,822706,1092513,967389,1095370,1211132,1463630,1041825,1090990,1048015,1021950,890000,1004290,1065050,1175630,1131000,1244990,1369130,1454100,1802815,1908000,1840000,1673000,1606000,1506710,1253380,975985,735000,737000,844000,849046,901490,972085,995356,1255000,1303000,1348000,1348186,1311473,1099373,1016811,1029000,1085368
